id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
[1],正黄金域国际,青羊,110,21481,1室1厅1厨1卫,低楼层 (共27层),51.21㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,三梯二十户,有,70年,2019-11-27,商品房,2014-01-02,普通住宅,满五年,非共有,无抵押,已上传房本照片
[1],中铁瑞城锦隆时代,青羊,115,19869,2室1厅1厨1卫,高楼层 (共24层),57.88㎡,平层,暂无数据,板塔结合,东南,钢混结构,简装,四梯十户,有,70年,2019-10-22,商品房,2010-01-09,普通住宅,满五年,非共有,有抵押 20万元 业主自还,已上传房本照片
[1],西二道街25号,青羊,118,17742,2室1厅1厨1卫,中楼层 (共7层),66.51㎡,平层,66.51㎡,板楼,东南,砖混结构,精装,一梯两户,无,70年,2019-07-14,已购公房,2018-01-17,普通住宅,满两年,共有,无抵押,已上传房本照片
[1],王家塘街9号,青羊,133,19997,2室2厅1厨2卫,中楼层 (共7层),66.51㎡,平层,暂无数据,板楼,东南,砖混结构,精装,一梯四户,无,70年,2019-11-20,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
[1],罗马国际,青羊,88,18209,1室0厅1厨1卫,高楼层 (共20层),48.33㎡,平层,48㎡,板楼,南 北,钢混结构,简装,四梯二十一户,有,70年,2019-12-05,商品房,2008-01-11,普通住宅,满五年,非共有,有抵押 10万元 中国银行四川省分行 业主自还,已上传房本照片
[1],万和电信公寓,青羊,345,21206,4室1厅1厨2卫,中楼层 (共18层),162.69㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,70年,2017-10-06,已购公房,2017-10-10,普通住宅,满两年,非共有,无抵押,已上传房本照片
[1],过街楼街98号,青羊,140,16037,2室1厅1厨1卫,中楼层 (共7层),87.3㎡,平层,暂无数据,板楼,东南,砖混结构,毛坯,一梯两户,无,未知,2018-06-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片
[1],四道街3号,青羊,150,17969,2室1厅1厨1卫,高楼层 (共7层),83.48㎡,平层,83.48㎡,板楼,西,砖混结构,简装,一梯两户,无,70年,2018-03-27,已购公房,1999-05-25,普通住宅,满五年,非共有,无抵押,已上传房本照片
[1],西二道街32号,青羊,215,17843,4室2厅1厨2卫,中楼层 (共7层),120.5㎡,平层,暂无数据,板楼,西南 东北,砖混结构,简装,一梯一户,暂无数据,70年,2020-01-03,已购公房,2000-10-24,普通住宅,满五年,非共有,有抵押 12万元,已上传房本照片
[1],罗马国际,青羊,118,16959,1室1厅1厨1卫,中楼层 (共20层),69.58㎡,平层,暂无数据,板楼,东南,钢混结构,简装,四梯二十一户,有,70年,2019-10-14,商品房,2010-01-06,普通住宅,满五年,共有,有抵押 20万元 渤海银行,已上传房本照片
[1],王家塘街101号,青羊,98,15061,3室1厅1厨1卫,中楼层 (共6层),65.07㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,70年,2019-09-02,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
[1],红墙巷36号,青羊,110,18645,2室1厅1厨1卫,中楼层 (共5层),59㎡,暂无数据,暂无数据,板楼,东南,砖混结构,精装,一梯两户,无,70年,2020-02-14,已购公房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
[1],三道街43号,青羊,152,17315,3室1厅1厨1卫,高楼层 (共7层),87.79㎡,平层,暂无数据,板楼,东南,砖混结构,精装,一梯三户,无,70年,2020-02-09,已购公房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
