id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
1,郡源山外山,崇州,['360'],['23226'],4室2厅1厨2卫,低楼层 (共2层),155㎡,暂无数据,暂无数据,板塔结合,东南,钢混结构,精装,一梯十四户,暂无数据,70年,2019-08-31,商品房,2017-02-25,普通住宅,满两年,共有,无抵押,已上传房本照片
2,嘉裕第六洲,崇州,['330'],['15483'],4室2厅1厨4卫,低楼层 (共3层),213.15㎡,205.01㎡,南,框架结构,毛坯,暂无数据,70年,"
                              ","
                              ","
                                                          ",2019-06-18,商品房,2018-05-16,别墅,未满两年,非共有,无抵押,已上传房本照片
3,嘉裕第六洲,崇州,['260'],['14611'],5室2厅2厨4卫,低楼层 (共2层),177.95㎡,暂无数据,暂无数据,暂无数据,东南,未知结构,简装,一梯五户,暂无数据,70年,2019-10-26,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片
4,青城山居,崇州,['47'],['10588'],1室1厅1厨1卫,中楼层 (共5层),44.39㎡,暂无数据,42㎡,板楼,南,钢混结构,其他,二十梯二十一户,有,50年,2019-07-08,商品房,2019-08-04,商业办公类,未满两年,非共有,无抵押,已上传房本照片
5,青城神韵一期,崇州,['72'],['10000'],3室2厅1厨1卫,低楼层 (共1层),72㎡,暂无数据,暂无数据,暂无数据,西南,未知结构,其他,一梯一户,暂无数据,70年,2019-10-31,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片
6,唐安首玺,崇州,['123'],['9686'],3室2厅1厨2卫,中楼层 (共24层),127㎡,暂无数据,暂无数据,板塔结合,东南,钢混结构,毛坯,三梯六户,有,70年,2019-11-25,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
7,康怡城邦,崇州,['162'],['8232'],4室1厅1厨3卫,低楼层 (共3层),196.8㎡,暂无数据,东,钢混结构,精装,联排,70年,"
                              ","
                              ","
                                                          ",2019-12-18,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片
8,西蜀御景二期,崇州,['55'],['5659'],2室2厅1厨1卫,高楼层 (共18层),97.2㎡,平层,暂无数据,暂无数据,南,未知结构,其他,一梯四户,有,70年,2019-11-28,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
9,青城山居,崇州,['93'],['11064'],2室2厅1厨2卫,低楼层 (共6层),84.06㎡,暂无数据,84㎡,板楼,东南,钢混结构,毛坯,一梯十八户,暂无数据,70年,2019-08-23,商品房,2019-08-23,普通住宅,未满两年,非共有,无抵押,未上传房本照片
10,上爵公馆,崇州,['81.9'],['8356'],3室2厅1厨1卫,中楼层 (共19层),98㎡,暂无数据,暂无数据,塔楼,南 北,钢混结构,简装,一梯六户,暂无数据,70年,2019-12-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片
11,西蜀御景二期,崇州,['92'],['7044'],4室2厅1厨2卫,中楼层 (共13层),130.61㎡,暂无数据,109.46㎡,暂无数据,西南,未知结构,毛坯,一梯一户,暂无数据,70年,2019-08-27,商品房,2014-10-09,普通住宅,满五年,非共有,无抵押,已上传房本照片
12,愿景水涟漪,崇州,['93'],['10584'],2室2厅1厨1卫,低楼层 (共3层),87.87㎡,暂无数据,75.82㎡,塔楼,东,框架结构,精装,一梯一户,有,70年,2019-11-16,商品房,2010-03-06,普通住宅,满五年,共有,有抵押 12万元 成都银行 业主自还,已上传房本照片
13,嘉裕第六洲,崇州,['298'],['16285'],4室3厅1厨3卫,低楼层 (共3层),183㎡,暂无数据,西南,钢混结构,毛坯,暂无数据,70年,"
                              ","
                              ","
                                                          ",2018-06-01,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片
14,嘉裕第六洲,崇州,['95'],['8938'],3室2厅1厨2卫,中楼层 (共7层),106.29㎡,暂无数据,暂无数据,板楼,西北,框架结构,毛坯,一梯两户,暂无数据,70年,2019-09-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 农业银行崇州支行,未上传房本照片
15,康怡城邦,崇州,['155'],['7915'],4室1厅1厨3卫,低楼层 (共3层),195.85㎡,暂无数据,南,钢混结构,毛坯,联排,70年,"
                              ","
                              ","
                                                          ",2019-12-03,商品房,2019-01-14,别墅,未满两年,非共有,无抵押,已上传房本照片
16,嘉裕第六洲,崇州,['235'],['13429'],3室2厅1厨3卫,低楼层 (共2层),175㎡,暂无数据,南,框架结构,毛坯,联排,70年,"
                              ","
                              ","
                                                          ",2019-12-10,商品房,2018-03-28,别墅,未满两年,非共有,有抵押 50万元,已上传房本照片
17,嘉裕第六洲,崇州,['350'],['15696'],4室2厅1厨4卫,低楼层 (共3层),223㎡,暂无数据,南,钢混结构,毛坯,联排,70年,"
                              ","
                              ","
                                                          ",2019-06-29,商品房,暂无数据,别墅,暂无数据,共有,有抵押,未上传房本照片
18,青城山居,崇州,['46'],['10363'],1室1厅0厨1卫,高楼层 (共5层),44.39㎡,平层,暂无数据,板楼,东南,钢混结构,精装,二十梯二十一户,有,50年,2019-08-29,商品房,暂无数据,商业办公类,暂无数据,非共有,无抵押,未上传房本照片
19,嘉裕第六洲,崇州,['520'],['20156'],4室2厅2厨5卫,低楼层 (共2层),258㎡,暂无数据,南,框架结构,毛坯,联排,70年,"
                              ","
                              ","
                                                          ",2019-06-29,商品房,暂无数据,别墅,暂无数据,共有,有抵押,未上传房本照片
